TransActive - Time
OpenValvPMGY01 - 13/01/2022 01:25:00:0001
OpenValvPMGY02 - 13/01/2022 01:26:00:0010
OpenValvPMGY03 - 13/01/2022 01:27:00:0100
OpenValvPMGY04 - 13/01/2022 01:28:00:1001
StartMotorWEGX01 - 13/01/2022 01:29:01:0002
StartMotorWEGY01 - 13/01/2022 01:29:10:0003
StartMotorWEGX02 - 13/01/2022 01:30:01:0004
StartMotorWEGY02 - 13/01/2022 01:30:10:0005
StartMotorWEGX03 - 13/01/2022 01:31:01:0006
StartMotorWEGY03 - 13/01/2022 01:31:10:0007
StartMotorWEGX04 - 13/01/2022 01:32:01:0008
StartMotorWEGY04 - 13/01/2022 01:32:10:0009
HighLevelTankOPY01 -  13/01/2022 01:42:10:0541
CloseValvPMGY01 - 13/01/2022 01:42:20:0370
HighLevelTankOPY02 -  13/01/2022 01:43:20:0136
CloseValvPMGY02 - 13/01/2022 01:43:30:3103
HighLevelTankOPY03 -  13/01/2022 01:44:00:1097
CloseValvPMGY03 - 13/01/2022 01:42:20:3007
HighLevelTankOPY04 -  13/01/2022 01:42:10:0010
CloseValvPMGY04 - 13/01/2022 01:42:20:0030
